COUNTER, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL
85.0 , 4136.92307692 , 4124.61538462 , 4141.02564103 , 4123.58974359 , 4123.07692308 , 4117.94871795 , 4096.92307692 , 4128.20512821 , 4131.79487179 , 4138.46153846 , 4096.41025641 , 3434.87179487 , 4141.53846154 , 4170.25641026 , 2036.0 , 2054.0 , 3.143 , 0.0 , 0.0 , 0.0 , 0.0 , 

86.0 , 4132.82051282 , 4141.53846154 , 4131.79487179 , 4151.28205128 , 4140.51282051 , 4139.48717949 , 4177.94871795 , 4139.48717949 , 4140.0 , 4140.51282051 , 4074.35897436 , 3383.58974359 , 4127.17948718 , 4103.58974359 , 2035.0 , 2056.0 , 3.159 , 0.0 , 0.0 , 0.0 , 0.0 , 

87.0 , 4118.97435897 , 4160.51282051 , 4125.64102564 , 4181.53846154 , 4166.66666667 , 4164.61538462 , 4274.87179487 , 4158.46153846 , 4165.64102564 , 4153.33333333 , 4049.23076923 , 3317.43589744 , 4116.92307692 , 4018.46153846 , 2034.0 , 2058.0 , 3.159 , 0.0 , 0.0 , 0.0 , 0.0 , 

88.0 , 4127.17948718 , 4138.97435897 , 4135.8974359 , 4147.17948718 , 4145.64102564 , 4140.0 , 4180.51282051 , 4143.07692308 , 4151.28205128 , 4151.28205128 , 4072.30769231 , 3374.35897436 , 4135.38461538 , 4101.02564103 , 2033.0 , 2063.0 , 3.176 , 0.0 , 0.0 , 0.0 , 0.0 , 

89.0 , 4139.48717949 , 4120.0 , 4138.46153846 , 4114.87179487 , 4124.1025641 , 4117.43589744 , 4094.35897436 , 4125.64102564 , 4126.66666667 , 4142.05128205 , 4094.35897436 , 3434.87179487 , 4148.20512821 , 4179.48717949 , 2033.0 , 2068.0 , 3.181 , 0.0 , 0.0 , 0.0 , 0.0 , 

90.0 , 4134.87179487 , 4134.87179487 , 4136.41025641 , 4131.28205128 , 4134.87179487 , 4130.25641026 , 4147.17948718 , 4134.35897436 , 4131.28205128 , 4142.56410256 , 4082.56410256 , 3407.69230769 , 4135.8974359 , 4134.35897436 , 2029.0 , 2071.0 , 3.181 , 0.0 , 0.0 , 0.0 , 0.0 , 

91.0 , 4127.69230769 , 4137.43589744 , 4140.51282051 , 4137.94871795 , 4139.48717949 , 4134.35897436 , 4166.15384615 , 4141.02564103 , 4143.07692308 , 4146.66666667 , 4078.46153846 , 3392.30769231 , 4133.33333333 , 4115.8974359 , 2027.0 , 2072.0 , 3.197 , 0.0 , 0.0 , 0.0 , 0.0 , 

92.0 , 4135.8974359 , 4124.61538462 , 4144.1025641 , 4121.53846154 , 4128.71794872 , 4120.0 , 4117.94871795 , 4131.79487179 , 4133.33333333 , 4142.05128205 , 4091.79487179 , 3421.53846154 , 4141.53846154 , 4156.92307692 , 2025.0 , 2076.0 , 3.197 , 0.0 , 0.0 , 0.0 , 0.0 , 

93.0 , 4134.35897436 , 4132.82051282 , 4135.38461538 , 4132.82051282 , 4136.41025641 , 4127.69230769 , 4151.28205128 , 4136.41025641 , 4134.87179487 , 4142.56410256 , 4084.1025641 , 3401.02564103 , 4138.97435897 , 4129.23076923 , 2025.0 , 2078.0 , 3.212 , 0.0 , 0.0 , 0.0 , 0.0 , 

94.0 , 4132.30769231 , 4132.30769231 , 4138.46153846 , 4130.76923077 , 4133.33333333 , 4127.69230769 , 4141.53846154 , 4134.87179487 , 4132.30769231 , 4142.05128205 , 4085.12820513 , 3412.30769231 , 4143.07692308 , 4138.46153846 , 2021.0 , 2080.0 , 3.212 , 0.0 , 0.0 , 0.0 , 0.0 , 

95.0 , 4131.79487179 , 4133.84615385 , 4141.53846154 , 4128.71794872 , 4134.87179487 , 4131.79487179 , 4145.64102564 , 4135.38461538 , 4136.41025641 , 4144.61538462 , 4082.05128205 , 3410.76923077 , 4138.46153846 , 4132.82051282 , 2020.0 , 2085.0 , 3.228 , 0.0 , 0.0 , 0.0 , 0.0 , 

96.0 , 4133.84615385 , 4134.87179487 , 4141.02564103 , 4131.28205128 , 4136.41025641 , 4131.79487179 , 4138.97435897 , 4134.87179487 , 4136.92307692 , 4144.61538462 , 4082.05128205 , 3404.61538462 , 4134.87179487 , 4131.28205128 , 2018.0 , 2087.0 , 3.228 , 0.0 , 0.0 , 0.0 , 0.0 , 

97.0 , 4133.84615385 , 4134.87179487 , 4140.51282051 , 4133.84615385 , 4135.38461538 , 4131.79487179 , 4132.82051282 , 4135.38461538 , 4133.84615385 , 4143.07692308 , 4083.58974359 , 3405.12820513 , 4135.38461538 , 4134.35897436 , 2017.0 , 2093.0 , 3.244 , 0.0 , 0.0 , 0.0 , 0.0 , 

98.0 , 4133.84615385 , 4135.8974359 , 4140.0 , 4132.30769231 , 4135.38461538 , 4133.84615385 , 4142.56410256 , 4137.43589744 , 4135.8974359 , 4143.58974359 , 4081.53846154 , 3403.58974359 , 4135.8974359 , 4128.20512821 , 2015.0 , 2095.0 , 3.244 , 0.0 , 0.0 , 0.0 , 0.0 , 

99.0 , 4135.38461538 , 4134.87179487 , 4138.46153846 , 4128.71794872 , 4131.79487179 , 4130.76923077 , 4142.05128205 , 4136.92307692 , 4135.8974359 , 4144.1025641 , 4083.07692308 , 3405.12820513 , 4135.38461538 , 4132.82051282 , 2013.0 , 2097.0 , 3.259 , 0.0 , 0.0 , 0.0 , 0.0 , 

100.0 , 4133.84615385 , 4134.87179487 , 4138.97435897 , 4133.33333333 , 4134.87179487 , 4130.76923077 , 4141.02564103 , 4135.38461538 , 4136.92307692 , 4145.12820513 , 4081.53846154 , 3402.05128205 , 4134.35897436 , 4133.33333333 , 2012.0 , 2100.0 , 3.259 , 0.0 , 0.0 , 0.0 , 0.0 , 

101.0 , 4135.38461538 , 4133.33333333 , 4141.53846154 , 4134.87179487 , 4135.8974359 , 4134.35897436 , 4132.30769231 , 4133.33333333 , 4137.43589744 , 4143.58974359 , 4078.97435897 , 3404.1025641 , 4135.38461538 , 4132.82051282 , 2011.0 , 2103.0 , 3.278 , 0.0 , 0.0 , 0.0 , 0.0 , 

102.0 , 4134.87179487 , 4132.82051282 , 4139.48717949 , 4134.87179487 , 4134.35897436 , 4137.43589744 , 4131.28205128 , 4134.35897436 , 4139.48717949 , 4141.53846154 , 4081.53846154 , 3404.61538462 , 4133.84615385 , 4131.28205128 , 2010.0 , 2109.0 , 3.281 , 0.0 , 0.0 , 0.0 , 0.0 , 

103.0 , 4134.87179487 , 4134.87179487 , 4137.43589744 , 4135.38461538 , 4136.41025641 , 4136.92307692 , 4129.23076923 , 4133.84615385 , 4137.43589744 , 4141.53846154 , 4087.69230769 , 3405.64102564 , 4132.30769231 , 4134.35897436 , 2011.0 , 2113.0 , 3.281 , 0.0 , 0.0 , 0.0 , 0.0 , 

104.0 , 4133.84615385 , 4135.8974359 , 4135.8974359 , 4133.33333333 , 4138.46153846 , 4137.43589744 , 4133.84615385 , 4136.41025641 , 4136.41025641 , 4143.58974359 , 4085.12820513 , 3402.05128205 , 4130.76923077 , 4129.23076923 , 2009.0 , 2119.0 , 3.297 , 0.0 , 0.0 , 0.0 , 0.0 , 

105.0 , 4135.38461538 , 4133.33333333 , 4135.8974359 , 4132.30769231 , 4134.35897436 , 4133.84615385 , 4133.33333333 , 4138.46153846 , 4136.41025641 , 4142.56410256 , 4081.02564103 , 3402.56410256 , 4129.74358974 , 4131.28205128 , 2011.0 , 2120.0 , 3.297 , 0.0 , 0.0 , 0.0 , 0.0 , 

