['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
86.0 , 4132.82051282 , 4126.15384615 , 4131.79487179 , 4132.30769231 , 4132.30769231 , 4126.15384615 , 4124.61538462 , 4132.82051282 , 4130.76923077 , 4137.43589744 , 4186.15384615 , 4910.25641026 , 4126.15384615 , 4135.8974359 , 2044.0 , 2039.0 , 228.353 , 0.0 , 0.0 , 0.0 , 0.0 , 

87.0 , 4129.23076923 , 4129.74358974 , 4124.1025641 , 4133.84615385 , 4131.28205128 , 4128.71794872 , 4131.28205128 , 4132.30769231 , 4136.41025641 , 4141.53846154 , 4192.30769231 , 4906.15384615 , 4133.84615385 , 4134.87179487 , 2044.0 , 2036.0 , 228.359 , 0.0 , 0.0 , 0.0 , 0.0 , 

88.0 , 4130.25641026 , 4129.74358974 , 4126.66666667 , 4129.23076923 , 4128.71794872 , 4126.15384615 , 4125.12820513 , 4127.17948718 , 4128.71794872 , 4141.02564103 , 4188.71794872 , 4910.76923077 , 4131.28205128 , 4137.94871795 , 2041.0 , 2036.0 , 228.364 , 0.0 , 0.0 , 0.0 , 0.0 , 

89.0 , 4129.74358974 , 4129.23076923 , 4129.23076923 , 4129.74358974 , 4130.25641026 , 4128.20512821 , 4124.61538462 , 4136.92307692 , 4132.30769231 , 4139.48717949 , 4188.71794872 , 4910.25641026 , 4134.35897436 , 4136.92307692 , 2041.0 , 2036.0 , 228.372 , 0.0 , 0.0 , 0.0 , 0.0 , 

90.0 , 4130.25641026 , 4122.56410256 , 4132.30769231 , 4128.20512821 , 4130.25641026 , 4126.15384615 , 4121.02564103 , 4127.69230769 , 4128.71794872 , 4137.94871795 , 4188.71794872 , 4909.23076923 , 4125.64102564 , 4135.8974359 , 2038.0 , 2034.0 , 228.383 , 0.0 , 0.0 , 0.0 , 0.0 , 

91.0 , 4128.71794872 , 4126.66666667 , 4126.15384615 , 4133.84615385 , 4127.17948718 , 4128.20512821 , 4123.58974359 , 4136.41025641 , 4135.8974359 , 4136.92307692 , 4189.23076923 , 4906.66666667 , 4132.82051282 , 4135.8974359 , 2037.0 , 2032.0 , 228.391 , 0.0 , 0.0 , 0.0 , 0.0 , 

92.0 , 4130.25641026 , 4127.17948718 , 4131.28205128 , 4126.66666667 , 4127.69230769 , 4124.1025641 , 4117.94871795 , 4129.74358974 , 4130.25641026 , 4135.38461538 , 4186.15384615 , 4910.76923077 , 4131.28205128 , 4137.94871795 , 2037.0 , 2030.0 , 228.394 , 0.0 , 0.0 , 0.0 , 0.0 , 

93.0 , 4129.23076923 , 4130.25641026 , 4129.23076923 , 4129.74358974 , 4128.71794872 , 4126.66666667 , 4126.66666667 , 4132.30769231 , 4134.35897436 , 4138.97435897 , 4191.28205128 , 4907.69230769 , 4136.41025641 , 4137.43589744 , 2037.0 , 2030.0 , 228.406 , 0.0 , 0.0 , 0.0 , 0.0 , 

94.0 , 4131.28205128 , 4124.61538462 , 4132.30769231 , 4127.69230769 , 4127.69230769 , 4123.07692308 , 4122.05128205 , 4125.12820513 , 4131.28205128 , 4138.97435897 , 4188.20512821 , 4910.25641026 , 4127.69230769 , 4137.94871795 , 2038.0 , 2028.0 , 228.417 , 0.0 , 0.0 , 0.0 , 0.0 , 

95.0 , 4132.30769231 , 4125.64102564 , 4131.28205128 , 4129.23076923 , 4128.20512821 , 4127.17948718 , 4125.12820513 , 4134.87179487 , 4135.38461538 , 4138.46153846 , 4189.23076923 , 4909.74358974 , 4130.25641026 , 4135.8974359 , 2041.0 , 2030.0 , 228.423 , 0.0 , 0.0 , 0.0 , 0.0 , 

96.0 , 4130.76923077 , 4126.15384615 , 4133.84615385 , 4124.1025641 , 4127.17948718 , 4126.15384615 , 4125.12820513 , 4128.20512821 , 4131.79487179 , 4136.92307692 , 4188.20512821 , 4909.23076923 , 4128.20512821 , 4135.8974359 , 2041.0 , 2031.0 , 228.427 , 0.0 , 0.0 , 0.0 , 0.0 , 

97.0 , 4127.17948718 , 4131.79487179 , 4130.76923077 , 4131.28205128 , 4127.69230769 , 4128.71794872 , 4130.25641026 , 4130.25641026 , 4136.92307692 , 4138.97435897 , 4190.76923077 , 4905.12820513 , 4131.79487179 , 4135.8974359 , 2044.0 , 2032.0 , 228.435 , 0.0 , 0.0 , 0.0 , 0.0 , 

98.0 , 4128.71794872 , 4130.25641026 , 4133.33333333 , 4132.30769231 , 4127.69230769 , 4126.15384615 , 4122.56410256 , 4127.69230769 , 4132.30769231 , 4138.97435897 , 4188.20512821 , 4908.20512821 , 4127.17948718 , 4135.38461538 , 2044.0 , 2031.0 , 228.449 , 0.0 , 0.0 , 0.0 , 0.0 , 

99.0 , 4130.76923077 , 4131.79487179 , 4134.35897436 , 4132.82051282 , 4129.74358974 , 4128.71794872 , 4122.05128205 , 4126.15384615 , 4127.17948718 , 4136.41025641 , 4186.15384615 , 4907.69230769 , 4129.74358974 , 4133.33333333 , 2045.0 , 2033.0 , 228.453 , 0.0 , 0.0 , 0.0 , 0.0 , 

100.0 , 4130.76923077 , 4129.23076923 , 4134.35897436 , 4130.76923077 , 4128.20512821 , 4126.15384615 , 4121.02564103 , 4123.58974359 , 4126.66666667 , 4135.38461538 , 4184.61538462 , 4910.76923077 , 4131.28205128 , 4133.84615385 , 2045.0 , 2033.0 , 228.458 , 0.0 , 0.0 , 0.0 , 0.0 , 

101.0 , 4132.30769231 , 4129.74358974 , 4129.23076923 , 4132.30769231 , 4129.23076923 , 4125.64102564 , 4121.02564103 , 4127.69230769 , 4125.64102564 , 4137.43589744 , 4187.17948718 , 4910.76923077 , 4130.25641026 , 4137.94871795 , 2046.0 , 2032.0 , 228.466 , 0.0 , 0.0 , 0.0 , 0.0 , 

