['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
13.0 , 4134.35897436 , 4129.74358974 , 4136.41025641 , 4138.97435897 , 4131.79487179 , 4133.84615385 , 4129.23076923 , 4136.41025641 , 4135.38461538 , 4138.97435897 , 4193.84615385 , 4917.43589744 , 4135.38461538 , 4142.56410256 , 2043.0 , 2036.0 , 226.534 , 0.0 , 0.0 , 0.0 , 0.0 , 

14.0 , 4134.87179487 , 4132.82051282 , 4133.84615385 , 4137.43589744 , 4130.76923077 , 4131.79487179 , 4127.69230769 , 4135.8974359 , 4135.8974359 , 4137.43589744 , 4195.8974359 , 4913.84615385 , 4136.92307692 , 4145.12820513 , 2043.0 , 2035.0 , 226.541 , 0.0 , 0.0 , 0.0 , 0.0 , 

15.0 , 4134.87179487 , 4132.82051282 , 4134.87179487 , 4135.8974359 , 4131.79487179 , 4128.71794872 , 4128.71794872 , 4137.43589744 , 4137.43589744 , 4137.94871795 , 4194.87179487 , 4916.41025641 , 4136.41025641 , 4144.61538462 , 2044.0 , 2035.0 , 226.548 , 0.0 , 0.0 , 0.0 , 0.0 , 

16.0 , 4134.87179487 , 4131.79487179 , 4134.87179487 , 4135.8974359 , 4132.82051282 , 4129.23076923 , 4129.23076923 , 4136.41025641 , 4137.43589744 , 4138.97435897 , 4193.84615385 , 4916.41025641 , 4137.43589744 , 4141.53846154 , 2041.0 , 2037.0 , 226.559 , 0.0 , 0.0 , 0.0 , 0.0 , 

17.0 , 4134.87179487 , 4129.74358974 , 4134.35897436 , 4136.41025641 , 4131.28205128 , 4130.76923077 , 4127.17948718 , 4135.38461538 , 4137.43589744 , 4138.46153846 , 4194.87179487 , 4914.87179487 , 4136.92307692 , 4144.1025641 , 2042.0 , 2036.0 , 226.566 , 0.0 , 0.0 , 0.0 , 0.0 , 

18.0 , 4133.84615385 , 4132.30769231 , 4135.38461538 , 4136.41025641 , 4132.30769231 , 4132.30769231 , 4128.20512821 , 4135.38461538 , 4140.51282051 , 4139.48717949 , 4193.84615385 , 4916.41025641 , 4136.41025641 , 4145.64102564 , 2042.0 , 2035.0 , 226.573 , 0.0 , 0.0 , 0.0 , 0.0 , 

19.0 , 4134.35897436 , 4134.35897436 , 4136.92307692 , 4134.87179487 , 4134.35897436 , 4131.28205128 , 4127.17948718 , 4133.84615385 , 4139.48717949 , 4139.48717949 , 4192.82051282 , 4916.92307692 , 4135.38461538 , 4141.53846154 , 2043.0 , 2038.0 , 226.58 , 0.0 , 0.0 , 0.0 , 0.0 , 

20.0 , 4132.82051282 , 4133.84615385 , 4136.41025641 , 4135.8974359 , 4133.33333333 , 4132.30769231 , 4123.58974359 , 4134.87179487 , 4135.38461538 , 4137.43589744 , 4192.82051282 , 4911.79487179 , 4135.38461538 , 4133.33333333 , 2042.0 , 2037.0 , 226.593 , 0.0 , 0.0 , 0.0 , 0.0 , 

21.0 , 4134.35897436 , 4133.84615385 , 4136.92307692 , 4137.43589744 , 4129.74358974 , 4131.28205128 , 4124.61538462 , 4134.87179487 , 4133.84615385 , 4136.41025641 , 4194.35897436 , 4915.8974359 , 4136.41025641 , 4138.97435897 , 2043.0 , 2038.0 , 226.597 , 0.0 , 0.0 , 0.0 , 0.0 , 

22.0 , 4133.84615385 , 4134.35897436 , 4136.92307692 , 4137.94871795 , 4129.74358974 , 4131.79487179 , 4126.66666667 , 4133.84615385 , 4136.92307692 , 4137.43589744 , 4193.33333333 , 4917.94871795 , 4138.46153846 , 4143.07692308 , 2043.0 , 2037.0 , 226.605 , 0.0 , 0.0 , 0.0 , 0.0 , 

23.0 , 4134.35897436 , 4129.74358974 , 4137.43589744 , 4134.87179487 , 4130.25641026 , 4130.25641026 , 4122.56410256 , 4133.33333333 , 4135.8974359 , 4137.94871795 , 4192.30769231 , 4913.84615385 , 4137.43589744 , 4145.64102564 , 2043.0 , 2037.0 , 226.612 , 0.0 , 0.0 , 0.0 , 0.0 , 

